Date,III.L,ADM.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AUTO.L,AVST.L,AVV.L,AV.L,BME.L,BA.L,BARC.L,BDEV.L,BKG.L,BHP.L,BP.L,BATS.L,BLND.L,BT-A.L,BNZL.L,BRBY.L,CCH.L,CPG.L,CRH.L,CRDA.L,DCC.L,DGE.L,ENT.L,EVR.L,EXPN.L,FERG.L,FLTR.L,FRES.L,GSK.L,GLEN.L,HLMA.L,HL.L,HIK.L,HSBA.L,IHG.L,IMB.L,INF.L,ICP.L,IAG.L,ITRK.L,JD.L,JMAT.L,JET.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNG.L,MRO.L,MNDI.L,MRW.L,NG.L,NWG.L,NXT.L,OCDO.L,PSON.L,PNN.L,PSH.L,PSN.L,PHNX.L,POLY.L,PRU.L,RB.L,REL.L,RTO.L,RMV.L,RIO.L,RR.L,RDSA.L,RSA.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SMDS.L,SMIN.L,SN.L,SKG.L,SPX.L,SSE.L,STAN.L,SLA.L,STJ.L,TW.L,TSCO.L,ULVR.L,UU.L,VOD.L,WTB.L,WPP.L
2020-01-13,1064.2357177734375,2223.796875,2107.783935546875,957.742919921875,2427.4931640625,2575,7295.30712890625,575.0,499.77490234375,3829.141357421875,359.4012145996094,318.6563415527344,570.1788940429688,174.046875,736.2774658203125,4589.78125,1629.6009521484375,451.96380615234375,3240.17578125,564.7999267578125,189.3999938964844,1998.2445068359373,2242.0,2597.864501953125,1903.6661376953125,2932.1650390625,5023.52294921875,6391.7705078125,3121.317138671875,897.62646484375,357.4915771484375,2532.739013671875,6935.392578125,8897.01171875,610.3875732421875,1690.468505859375,212.0225372314453,2099.718505859375,1785.2457275390625,1892.1024169921875,568.4453735351562,4913.34716796875,1650.717529296875,815.9577026367188,1584.4853515625,604.9395751953125,5731.978515625,840.7999877929688,2913.987060546875,8635.0,214.0,914.5127563476562,277.29327392578125,54.29673385620117,7476.67041015625,228.32925415039065,225.99974060058597,1556.024169921875,177.9544219970703,893.8654174804688,223.51736450195312,6728,1280.0,602.9414672851562,1028.6580810546875,1491.63037109375,2402.979248046875,682.2803955078125,1176.577880859375,1436.8182373046875,5932.86376953125,1896.3822021484373,447.5184631347656,640.24365234375,4200.17724609375,216.4996795654297,2135.346435546875,542.08837890625,704.5657958984375,212.8093719482422,3120.462158203125,599.14990234375,832.3152465820312,2416.409912109375,368.7521362304688,1702.1064453125,1830.5301513671875,2663.11865234375,8908.212890625,1344.2930908203125,675.96044921875,282.6438293457031,-3195.115478515625,181.55894470214844,251.3129730224609,4163.3857421875,927.881591796875,141.5679473876953,4046.46826171875,988.598876953125
2020-01-14,1061.342529296875,2235.369140625,2095.24609375,963.8594970703124,2403.896484375,2561,7334.40576171875,578.0,498.309326171875,3859.26708984375,358.8773193359375,327.1298828125,568.50732421875,173.39544677734375,748.3507080078125,4620.07666015625,1631.5877685546875,450.8727722167969,3229.050537109375,562.6845092773438,185.6000061035156,2014.5684814453125,2271.0,2627.914306640625,1929.3114013671875,2912.86181640625,5052.98583984375,6423.0263671875,3119.86865234375,899.9615478515625,342.4119567871094,2564.323974609375,6983.783203125,8786.8857421875,600.5267333984375,1685.9835205078125,212.3287811279297,2087.80517578125,1767.6859130859375,1908.2952880859373,568.060546875,4897.783203125,1664.4429931640625,812.28125,1589.298583984375,596.6375732421875,5775.10595703125,854.2000122070312,2863.190185546875,8690.0,218.5,920.8448486328124,278.02734375,54.30597686767578,7456.90673828125,226.4468994140625,227.5299835205078,1516.03076171875,181.2978515625,891.2066040039062,222.264892578125,6838,1303.0,583.0875854492188,1013.8743286132812,1499.4298095703125,2456.57421875,689.8106079101562,1181.8155517578125,1419.7308349609375,5986.46240234375,1923.6612548828125,452.47216796875,650.55419921875,4190.95654296875,215.85870361328125,2124.98974609375,539.5946655273438,702.8422241210938,212.8093719482422,3133.862548828125,597.15771484375,830.9814453125,2419.2890625,360.8019104003906,1688.953369140625,1836.896240234375,2618.640625,8957.6201171875,1357.3218994140625,678.421875,282.7344055175781,-3172.293212890625,188.6595001220703,252.8293609619141,4140.85791015625,932.4684448242188,146.16175842285156,4105.74755859375,967.1986694335938
2020-01-15,1056.0382080078125,2224.76123046875,2084.637451171875,956.7562866210938,2391.115234375,2555,7472.68310546875,568.5999755859375,512.4769287109375,3914.761962890625,356.6943359375,322.593505859375,569.250244140625,171.00048828125,754.29150390625,4586.9404296875,1626.7113037109375,450.2363586425781,3251.301025390625,566.14599609375,182.8999938964844,2017.4490966796875,2313.0,2663.780517578125,1944.5999755859373,2863.638427734375,4940.04248046875,6495.30517578125,3163.32080078125,906.7720336914062,339.2920227050781,2607.753662109375,6945.0703125,8895.080078125,614.9235229492188,1714.7620849609375,211.19125366210935,2105.675048828125,1785.2457275390625,1938.227294921875,567.4832153320312,4925.0205078125,1694.739013671875,828.921630859375,1597.962158203125,593.5012817382812,5818.23291015625,850.0,2834.861083984375,8712.5,214.0,924.6825561523438,272.06304931640625,53.43708419799805,7555.7255859375,226.4468994140625,226.4779510498047,1497.4290771484375,179.4142303466797,908.3944702148438,216.6769561767578,6868,1338.5,596.0022583007812,1036.2884521484375,1511.1287841796875,2466.238525390625,689.3457641601562,1185.148681640625,1367.49169921875,6073.19482421875,1949.4788818359373,460.0018005371094,645.5972290039062,4170.669921875,216.8842010498047,2130.16796875,533.8399658203125,706.8639526367188,207.50120544433597,3110.89013671875,594.1693725585938,837.650634765625,2443.2802734375,352.0664978027344,1689.4404296875,1851.097900390625,2629.760009765625,9026.791015625,1383.3795166015625,665.73583984375,279.92608642578125,-3145.191650390625,188.2100982666016,250.30203247070312,4172.01416015625,939.1575927734376,147.4876251220703,4155.57666015625,963.4768676757812
2020-01-16,1068.57568359375,2241.1552734375,2098.139404296875,960.110595703125,2395.207275390625,2661,7349.6640625,562.5999755859375,508.080078125,3927.446533203125,355.2972717285156,325.9315795898437,571.6646118164062,169.37191772460938,758.890869140625,4727.05712890625,1634.477294921875,452.6457214355469,3210.5087890625,561.5307006835938,183.0,1992.483154296875,2310.0,2685.106201171875,1926.0,2849.160888671875,4969.50634765625,6296.05029296875,3138.69775390625,908.5233154296876,341.1986389160156,2586.038818359375,6939.26416015625,8868.03125,624.3900146484375,1689.347412109375,211.80377197265625,2100.711181640625,1746.2239990234375,1874.92822265625,568.5416259765625,4949.3388671875,1701.852783203125,831.6304931640625,1600.8499755859375,588.8890380859375,5800.59033203125,857.0,2785.041259765625,8552.5,209.8999938964844,926.0256958007812,270.0443420410156,53.5202751159668,7555.7255859375,227.7645263671875,221.79151916503903,1481.6177978515625,177.43641662597656,911.907958984375,213.88299560546875,6850,1320.0,542.9942626953125,1025.7967529296875,1518.92822265625,2504.0185546875,684.9763793945312,1177.0540771484375,1373.3502197265625,6038.11181640625,1938.7620849609373,463.2712707519531,649.7611083984375,4173.8974609375,217.07647705078125,2123.10693359375,530.962646484375,707.821533203125,208.0802764892578,3122.37646484375,595.16552734375,844.7008666992188,2460.55419921875,350.39794921875,1673.364501953125,1835.42724609375,2550.070556640625,8992.205078125,1398.0408935546875,664.2210693359375,282.6438293457031,-3130.927978515625,188.8392639160156,247.6737060546875,4173.931640625,940.4954833984376,145.35877990722656,3940.796142578125,949.054931640625
2020-01-17,1086.41748046875,2246.941162109375,2165.650390625,970.7653198242188,2518.46826171875,2660,7512.73583984375,573.4000244140625,512.9654541015625,4007.517578125,355.995849609375,327.3866577148437,580.0223388671875,167.87745666503906,765.9815063476562,4771.55419921875,1672.043212890625,451.327392578125,3213.753662109375,565.3768310546875,184.1199951171875,2003.0457763671875,2329.0,2681.228759765625,1936.5,2863.638427734375,5028.43310546875,6366.3759765625,3168.1484375,885.9512939453125,362.9514465332031,2615.650146484375,6945.0703125,8757.90625,631.2926025390625,1724.8533935546875,212.81005859375,2139.429443359375,1756.4671630859375,1919.0904541015625,571.5242919921875,5016.45849609375,1711.8956298828125,835.5003662109375,1608.551025390625,618.9607543945312,5837.8359375,874.0,2775.2724609375,8620.0,210.3000030517578,940.4169311523438,274.54052734375,54.02867126464844,7549.79638671875,231.71746826171875,225.9040985107422,1491.8486328125,179.8851318359375,927.4815673828124,216.48426818847656,6938,1334.5,567.2815551757812,1050.59521484375,1536.4769287109375,2540.04150390625,690.7402954101562,1189.43408203125,1383.1146240234375,6052.72998046875,1952.401611328125,471.0981140136719,657.6922607421875,4288.69921875,216.563720703125,2116.98681640625,534.2236328125,703.0337524414062,208.8523712158203,3155.878173828125,596.1615600585938,861.0880737304688,2478.78759765625,351.9683532714844,1688.4661865234375,1853.056640625,2518.565185546875,9066.3173828125,1414.1212158203125,664.5997924804688,286.1768493652344,-3168.01416015625,190.90652465820312,251.3129730224609,4218.02880859375,958.9384155273438,144.1449737548828,3849.72900390625,948.5897216796876
2020-01-20,1084.00634765625,2227.654296875,2160.828125,963.0702514648438,2491.843994140625,2628,7473.63671875,583.5999755859375,511.0113220214844,3991.662109375,356.956298828125,321.56646728515625,601.380859375,167.6475372314453,782.2708740234375,4868.12158203125,1662.6517333984375,448.690673828125,3172.034423828125,559.03076171875,180.83999633789065,1992.483154296875,2277.0,2693.830322265625,1935.0,2865.56884765625,5013.70166015625,6315.58544921875,3159.94091796875,886.7296752929688,369.3646545410156,2608.74072265625,6900.55126953125,8670.9638671875,639.9701538085938,1717.37841796875,211.58502197265625,2121.5595703125,1733.5419921875,1917.618408203125,569.98486328125,5005.75830078125,1706.0372314453125,829.5021362304688,1631.6541748046875,606.2310180664062,5818.23291015625,865.2000122070312,2735.220947265625,8675.0,212.0,931.9740600585938,277.29327392578125,53.5202751159668,7533.98583984375,234.35276794433597,227.5299835205078,1509.05517578125,178.23696899414062,937.6423950195312,214.5573883056641,6924,1327.5,567.2815551757812,1059.1793212890625,1538.426513671875,2590.121826171875,686.7427368164062,1200.3857421875,1381.64990234375,5976.71728515625,1943.6334228515625,467.1351623535156,657.295654296875,4312.673828125,212.9105529785156,2110.8671875,532.1135864257812,696.1393432617188,208.46632385253903,3107.061279296875,595.16552734375,852.3228759765625,2474.948974609375,351.0849914550781,1706.003662109375,1850.6080322265625,2535.244140625,9046.5546875,1415.067138671875,662.1383056640625,284.36505126953125,-3162.30859375,192.70413208007807,248.88677978515625,4218.50830078125,964.1941528320312,144.723876953125,3869.489013671875,946.7288208007812
2020-01-21,1081.5953369140625,2213.18896484375,2121.768310546875,937.22265625,2516.49609375,2664,7461.23974609375,591.5999755859375,526.156005859375,3987.697998046875,357.4802551269531,320.7105407714844,598.9663696289062,167.07273864746094,773.0720825195312,4909.77734375,1640.0760498046875,445.8267211914063,3164.154296875,556.53076171875,178.5800018310547,1987.6820068359373,2263.0,2693.830322265625,1936.5,2842.40478515625,5008.791015625,6311.67822265625,3140.14599609375,873.108642578125,348.39178466796875,2577.15576171875,6875.3876953125,8694.1484375,627.3482666015625,1717.37841796875,208.2598571777344,2113.6171875,1752.0772705078125,1933.3204345703125,563.442138671875,4829.69091796875,1661.2626953125,800.0912475585938,1642.2430419921875,588.3355712890625,5814.3125,854.5999755859375,2756.7119140625,8562.5,213.3000030517578,926.793212890625,282.2481994628906,54.07488632202149,7616.994140625,234.9174652099609,231.1643524169922,1496.0340576171875,176.44754028320312,937.54736328125,216.48426818847656,6990,1335.0,555.1378784179688,1050.59521484375,1522.8280029296875,2615.601318359375,687.1146240234375,1193.719482421875,1371.3974609375,5957.2265625,1945.0947265625,466.2434997558594,661.4595336914062,4249.509765625,212.7823486328125,2076.031005859375,527.126220703125,702.8422241210938,204.99188232421875,3112.804443359375,594.6674194335938,851.5606079101562,2458.634765625,351.37945556640625,1689.9276123046875,1861.3817138671875,2520.41845703125,9066.3173828125,1402.2974853515625,654.1858520507812,286.1768493652344,-3195.115478515625,192.6142578125,247.2693023681641,4230.4912109375,952.3447875976562,144.6304931640625,3805.0546875,946.7288208007812
2020-01-22,1081.5953369140625,2218.0107421875,2112.1240234375,894.8009643554688,2536.2177734375,2670,7343.9423828125,584.2000122070312,534.4611206054688,4098.6875,358.2660827636719,321.8232116699219,594.3231811523438,167.41761779785156,769.4309692382812,5123.740234375,1648.3839111328125,436.87109375,3140.977294921875,556.1461791992188,174.5399932861328,1987.6820068359373,2150.0,2667.657958984375,1912.5,2813.449951171875,4979.3271484375,6264.794921875,3111.177978515625,886.1458740234375,347.1784973144531,2609.727783203125,6906.35791015625,8645.84765625,628.7286987304688,1700.5596923828125,205.7222442626953,2102.69677734375,1762.808349609375,1911.2393798828125,559.2086181640625,4859.35986328125,1634.146728515625,804.9285888671875,1629.7288818359375,584.8302612304688,5929.97119140625,855.0,2737.1748046875,8635.0,212.6999969482422,918.734130859375,284.7256774902344,53.695899963378906,7891.71142578125,231.34100341796875,233.6510162353516,1523.9365234375,174.09303283691406,944.954345703125,214.5573883056641,7056,1331.5,554.7523803710938,1055.3641357421875,1515.028564453125,2636.6875,691.6699829101562,1201.8140869140625,1378.720703125,5912.39892578125,1953.3758544921875,468.3240356445313,664.2354736328125,4244.89990234375,207.97552490234372,2058.613037109375,532.4972534179688,730.2281494140625,200.74534606933597,3119.5048828125,593.67138671875,862.0408325195312,2460.55419921875,349.7108764648437,1685.05615234375,1857.4639892578125,2535.244140625,8987.2646484375,1421.6884765625,652.2923583984375,289.8910827636719,-3235.054443359375,194.50173950195312,244.5398406982422,4205.56640625,952.72705078125,142.57635498046875,3823.09619140625,938.3547973632812
2020-01-23,1064.718017578125,2187.1513671875,2038.826416015625,851.5901489257812,2495.7880859375,2659,7301.982421875,575.7999877929688,528.5986938476562,3983.734130859375,354.947998046875,320.5393371582031,593.0231323242188,164.29458618164062,763.8734741210938,5066.9365234375,1604.3162841796875,438.3713073730469,3147.466796875,555.7615356445312,171.0,1947.352294921875,2094.0,2671.535400390625,1887.0,2794.146728515625,4994.0595703125,6202.28369140625,3106.35009765625,863.9630737304688,324.7323608398437,2583.077880859375,6768.92724609375,8597.546875,623.6011352539062,1703.36279296875,199.6407012939453,2088.7978515625,1733.05419921875,1900.4442138671875,551.3189086914062,4702.26123046875,1619.417236328125,788.2882080078125,1615.28955078125,561.7691650390625,5914.28857421875,838.2000122070312,2697.123046875,8685.0,207.0,919.8854370117188,281.2388610839844,53.05809783935547,7824.5146484375,229.6468811035156,232.2164001464844,1507.6600341796875,171.5972442626953,944.0997314453124,211.0890350341797,7050,1292.0,560.5350952148438,1054.070068359375,1497.4798583984375,2648.988037109375,700.8736572265625,1197.52880859375,1365.5389404296875,5925.06787109375,1949.4788818359373,463.2712707519531,665.4251098632812,4081.226318359375,209.0651092529297,2045.4320068359373,527.126220703125,721.9932250976562,199.5872039794922,3079.302490234375,583.71044921875,850.7984008789062,2457.67529296875,348.0423278808594,1668.4930419921875,1841.3037109375,2537.09765625,8908.212890625,1423.5802001953125,644.1505126953125,282.462646484375,-3180.8515625,196.74876403808597,245.65182495117188,4187.8310546875,950.8158569335938,143.97689819335938,3741.4794921875,927.4686279296876
2020-01-24,1077.25537109375,2219.939453125,2056.1865234375,863.8233032226562,2522.41259765625,2670,7303.89013671875,595.5999755859375,538.3694458007812,4063.01220703125,359.4012145996094,323.5350646972656,597.85205078125,166.15309143066406,775.7550659179688,5118.06005859375,1606.4835205078125,441.962646484375,3163.690673828125,567.4921875,171.0,1957.914794921875,2099.0,2702.554443359375,1927.0,2853.021728515625,5116.82373046875,6212.05078125,3128.55908203125,862.9901123046875,328.6322631835937,2658.0927734375,6823.12548828125,8585.9541015625,627.1510620117188,1703.176025390625,201.7407989501953,2146.37890625,1786.7091064453125,1928.9041748046875,557.4767456054688,4675.0244140625,1639.5030517578125,793.3190307617188,1632.6168212890625,572.8385009765625,6047.59033203125,849.2000122070312,2727.406005859375,8490.0,206.8999938964844,930.630859375,286.10205078125,53.695899963378906,7856.13671875,230.96453857421875,235.27691650390625,1513.2406005859375,176.73008728027344,963.2817993164062,215.23179626464844,7194,1318.0,562.6553344726562,1078.2127685546875,1495.5301513671875,2678.86083984375,711.65771484375,1205.6234130859375,1384.091064453125,5993.2841796875,1997.21728515625,476.9434814453125,670.7786254882812,4092.7529296875,210.859619140625,2059.083984375,529.811767578125,733.48388671875,202.38604736328125,3125.247802734375,588.6908569335938,872.5209350585938,2512.37548828125,349.7108764648437,1697.7220458984375,1890.2745361328125,2546.364013671875,9046.5546875,1446.7547607421875,652.1029663085938,284.36505126953125,-3219.364013671875,200.43386840820312,251.6162567138672,4288.96826171875,965.1497802734376,146.12442016601562,3695.946044921875,933.2373657226562
2020-01-27,1043.5008544921875,2175.579345703125,1960.224609375,826.1371459960938,2477.052734375,2633,7152.26220703125,576.2000122070312,517.3623046875,3952.8154296875,351.62994384765625,317.45806884765625,589.494384765625,163.509033203125,760.4239501953125,5046.10791015625,1538.575927734375,433.6434326171875,3117.336181640625,552.6846923828125,171.9199981689453,1930.068115234375,1998.5,2687.044921875,1899.5,2793.181640625,4994.0595703125,6147.58642578125,3082.69287109375,851.898681640625,313.4659729003906,2609.727783203125,6664.4033203125,8593.6826171875,629.3204345703125,1665.6142578125,193.73416137695312,2129.501708984375,1755.0037841796875,1902.8975830078125,537.94482421875,4445.4560546875,1610.378662109375,764.1016845703125,1619.1400146484375,541.475341796875,5916.2490234375,829.0,2598.4599609375,8420.0,202.5,910.4832153320312,278.4861145019531,52.79003143310547,7676.28564453125,227.7645263671875,225.99974060058597,1468.131591796875,171.9739532470703,955.6849365234376,210.12559509277344,7018,1281.0,558.80029296875,1062.2786865234375,1462.3826904296875,2629.65869140625,691.6699829101562,1208.4803466796875,1314.2762451171875,5973.7939453125,1967.98974609375,466.0453186035156,660.2698364257812,3887.584716796875,204.0018615722656,2019.06982421875,519.0697631835938,721.2272338867188,196.8848571777344,3040.0576171875,574.74560546875,853.6566162109375,2476.8681640625,340.9754638671875,1656.314208984375,1848.15966796875,2468.52734375,8735.28515625,1415.067138671875,622.5652465820312,272.58819580078125,-3132.354248046875,195.04103088378903,247.9769592285156,4245.3505859375,954.2559814453124,144.07028198242188,3641.8212890625,914.4423217773438
2020-01-28,1059.89599609375,2218.97509765625,1979.513427734375,847.6439208984375,2495.7880859375,2657,7296.2607421875,578.4000244140625,470.7557067871094,3979.77001953125,355.2099609375,320.96728515625,589.6801147460938,164.79273986816406,772.6889038085938,5061.255859375,1556.2752685546875,438.007568359375,3128.925048828125,557.2999877929688,174.24000549316406,1925.2669677734373,2010.0,2709.340087890625,1937.5,2813.449951171875,5062.80712890625,6137.8193359375,3038.27490234375,865.130615234375,317.7991943359375,2669.937255859375,6697.30908203125,8616.8671875,604.4710693359375,1674.397216796875,199.1594390869141,2116.595703125,1806.2198486328125,1906.3323974609373,546.219482421875,4581.154296875,1618.4129638671875,772.808837890625,1633.5794677734375,546.4566040039062,5957.41552734375,833.0,2629.719482421875,8542.5,204.5,921.9961547851562,281.6976623535156,53.27994155883789,7640.71044921875,230.2115936279297,229.25152587890625,1475.1072998046875,173.43374633789062,967.4600219726562,209.93289184570312,7040,1307.5,565.9322509765625,1071.452880859375,1472.1319580078125,2659.531494140625,707.2882690429688,1200.86181640625,1343.569091796875,6080.01611328125,1993.3203125,471.19720458984375,659.4767456054688,3918.9365234375,208.6164093017578,2023.306640625,529.6199340820312,721.8016967773438,198.33255004882807,3091.74609375,585.2045288085938,858.4203491210938,2479.7470703125,342.1532897949219,1675.3131103515625,1863.830322265625,2490.766357421875,8804.45703125,1424.9990234375,626.7308349609375,276.2118530273437,-3225.06982421875,196.02972412109372,248.6845550537109,4314.37255859375,955.5938110351562,146.27381896972656,3737.18408203125,917.7919311523438
2020-01-29,1072.433349609375,2221.8681640625,1974.691162109375,849.6170043945312,2555.939697265625,2643,7337.26708984375,578.2000122070312,444.9609069824219,4031.30126953125,355.7338562011719,321.05291748046875,594.8804321289062,164.79273986816406,765.5982666015625,4962.794921875,1554.1080322265625,434.5071716308594,3144.221923828125,558.0692138671875,175.33999633789062,1923.3465576171875,2024.0,2705.462646484375,1936.5,2839.50927734375,5057.89697265625,6194.4697265625,3003.0302734375,869.8006591796875,320.1391296386719,2681.78173828125,6708.92236328125,8626.52734375,610.5847778320312,1694.9534912109375,200.25323486328125,2131.4873046875,1824.2674560546875,1878.363037109375,544.8724365234375,4625.900390625,1631.46875,768.552001953125,1655.7198486328125,546.0875854492188,5937.8125,826.2000122070312,2637.534423828125,8582.5,207.8000030517578,926.2175903320312,282.7987670898437,53.15053176879883,7698.02587890625,230.5880584716797,236.9028167724609,1503.0096435546875,172.44485473632812,970.308837890625,212.82321166992188,7040,1292.5,552.8247680664062,1074.8328857421875,1481.881103515625,2645.4736328125,715.0045166015625,1185.6248779296875,1359.1920166015625,6124.84375,1978.7064208984373,470.7018127441406,656.10595703125,3910.17626953125,215.79464721679688,2006.359375,534.2236328125,726.781005859375,195.3406524658203,3100.36083984375,586.69873046875,865.6611938476562,2484.545654296875,350.39794921875,1692.8505859375,1878.521484375,2542.657470703125,8883.5087890625,1418.8507080078125,625.0267333984375,279.47314453125,-3256.4501953125,192.9737701416016,248.78567504882807,4254.45703125,969.449951171875,145.30276489257812,3841.1376953125,920.2111206054688
2020-01-30,1080.148681640625,2200.65234375,1958.7779541015625,843.5003662109375,2516.49609375,2624,7166.56640625,581.0,385.9454345703125,3924.275390625,354.0747985839844,317.2012939453125,590.051513671875,164.29458618164062,768.8561401367188,4947.6474609375,1527.19775390625,424.6878051757813,3105.2841796875,548.646240234375,162.39999389648438,1893.09912109375,2015.0,2714.186767578125,1899.5,2805.728759765625,5013.70166015625,6036.23828125,2924.81640625,863.5738525390625,319.2724914550781,2660.06689453125,6697.30908203125,8477.7607421875,640.9562377929688,1674.7711181640625,198.109375,2105.675048828125,1833.53515625,1800.833984375,541.697265625,4539.326171875,1609.37451171875,749.00927734375,1635.504638671875,528.0076904296875,5859.39990234375,824.4000244140625,2584.783935546875,8507.5,205.6999969482422,911.4425659179688,284.4504089355469,53.54800415039063,7731.62451171875,228.1409912109375,229.5384521484375,1481.1527099609375,173.0099334716797,965.1810302734376,213.4012756347656,7030,1270.5,545.3073120117188,1076.2813720703125,1462.3826904296875,2670.953369140625,713.4241333007812,1205.6234130859375,1336.245849609375,6147.2578125,1978.7064208984373,466.6397705078125,661.26123046875,3841.940673828125,215.9869079589844,1918.798828125,532.4972534179688,714.3328247070312,196.2092742919922,3101.318115234375,579.7260131835938,867.5667114257812,2490.303466796875,342.84033203125,1677.7489013671875,1836.896240234375,2516.7119140625,8829.16015625,1419.796630859375,614.991455078125,276.93658447265625,-3309.226806640625,193.2434234619141,250.60531616210935,4340.25537109375,982.3504638671876,140.42881774902344,3911.5859375,899.7413330078125
2020-01-31,1065.2001953125,2178.472412109375,1914.992431640625,811.1415405273438,2420.845703125,2626,7079.78564453125,562.0,415.25775146484375,3898.90625,347.875244140625,311.2955017089844,586.3370361328125,160.94163513183594,769.2393798828125,4960.90185546875,1498.8427734375,415.2320861816406,3112.700927734375,533.2618408203125,160.9199981689453,1886.857666015625,1953.0,2700.615966796875,1877.0,2756.50537109375,4894.865234375,5989.35498046875,2906.469970703125,853.4554443359375,305.5794677734375,2602.818603515625,6583.1064453125,8309.673828125,653.1837768554688,1666.92236328125,194.69671630859372,2091.776123046875,1682.813720703125,1797.889892578125,530.9210815429688,4557.80810546875,1632.6405029296875,749.5897216796875,1676.897705078125,525.0558471679688,5645.72509765625,821.7999877929688,2544.732177734375,8435.0,204.0,899.9296875,280.3212890625,52.494239807128906,7743.48291015625,226.07041931152344,223.0348663330078,1437.904052734375,171.3617706298828,955.1151733398438,210.3182830810547,6892,1223.5,547.813232421875,1070.487060546875,1429.2353515625,2682.375,704.6852416992188,1224.66943359375,1320.134765625,6120.94580078125,1961.1700439453125,462.67681884765625,652.140380859375,3765.8671875,214.705078125,1877.7491455078125,527.8935546875,707.0554809570312,195.3406524658203,3075.4736328125,578.72998046875,867.5667114257812,2474.948974609375,334.3993835449219,1646.083984375,1788.90478515625,2437.022216796875,8814.337890625,1426.890869140625,597.3823852539062,273.1317749023437,-3263.582275390625,193.33331298828125,249.5943756103516,4346.0078125,968.494384765625,139.40176391601562,3840.27880859375,879.271484375
2020-02-03,1085.9351806640625,2178.472412109375,1921.550537109375,823.572021484375,2452.400390625,2627,7110.30224609375,579.2000122070312,433.6267700195313,3987.697998046875,350.4947814941406,304.87615966796875,596.1805419921875,162.55104064941406,776.9049072265625,5013.9189453125,1495.411376953125,411.5953369140625,3143.75830078125,537.4925537109375,163.33999633789062,1900.30078125,1979.0,2718.064208984375,1887.0,2820.2060546875,4949.86376953125,6075.30810546875,2991.443115234375,863.9630737304688,308.7860717773437,2640.326171875,6677.95263671875,8317.40234375,633.0675659179688,1682.619873046875,193.9091796875,2132.47998046875,1709.1533203125,1796.908447265625,534.6735229492188,4572.8857421875,1624.4388427734375,753.653076171875,1664.3834228515625,530.406005859375,5698.6533203125,833.0,2550.593505859375,7350.0,205.0,907.22119140625,279.1284484863281,52.27239227294922,7830.443359375,229.0821685791016,227.81690979003903,1457.4356689453125,169.94906616210938,958.1539306640624,209.1621551513672,6978,1246.0,546.2710571289062,1084.9727783203125,1446.7840576171875,2718.397705078125,710.6351318359375,1197.052490234375,1335.7576904296875,6194.03466796875,1965.06689453125,475.3583068847656,664.8302612304688,3765.40625,216.3714599609375,1849.5035400390625,524.8244018554688,721.03564453125,193.989501953125,3095.574951171875,595.66357421875,869.6627197265625,2489.34375,339.110595703125,1654.3656005859375,1795.7607421875,2500.032470703125,8898.330078125,1456.6866455078125,597.0037231445312,276.30242919921875,-3287.830810546875,196.92852783203125,251.6162567138672,4390.58447265625,960.371826171875,140.82098388671875,3867.7705078125,888.9481201171875
2020-02-04,1107.15234375,2198.723876953125,1993.0155029296875,846.4600219726562,2553.967529296875,2644,7185.63916015625,591.2000122070312,434.6038818359375,4059.048583984375,350.84405517578125,315.7462463378906,601.9380493164062,164.77359008789062,786.678466796875,5042.3212890625,1537.131103515625,428.7337341308594,3193.8212890625,549.4154663085938,162.82000732421875,1908.9429931640625,2025.0,2736.48193359375,1891.0,2859.77783203125,4915.48974609375,6133.912109375,3032.481201171875,863.3793334960938,330.79888916015625,2682.7685546875,7140.5703125,8305.8095703125,615.5151977539062,1695.887939453125,203.9721527099609,2158.292236328125,1734.517333984375,1813.101318359375,542.3707885742188,4716.3662109375,1634.64892578125,759.6513671875,1676.897705078125,548.3014526367188,5710.41552734375,865.2000122070312,2637.534423828125,7550.0,204.1000061035156,916.8153076171876,283.80810546875,53.15053176879883,7933.21533203125,228.7057037353516,230.7817840576172,1466.7364501953125,169.94906616210938,958.91357421875,213.88299560546875,6984,1243.0,550.8972778320312,1070.0042724609375,1481.881103515625,2757.056396484375,716.0271606445312,1164.1978759765625,1363.5859375,6265.1748046875,2005.985595703125,486.4546203613281,674.3477172851562,3878.824951171875,219.6400909423828,1878.690673828125,526.55078125,730.2281494140625,195.14764404296875,3169.279052734375,619.07177734375,860.8975219726562,2461.513671875,345.88299560546875,1669.9544677734375,1818.777099609375,2518.565185546875,8972.4423828125,1454.3218994140625,604.38818359375,280.1978454589844,-3369.13525390625,200.343994140625,253.0315093994141,4403.5263671875,951.0069580078124,141.213134765625,3909.008544921875,902.5326538085938
